seq_id,label,label_name,group,steps,severity,cluster_id,source,m6b_step,generated,seed_idx,fail_type,fail_channel,fault_name,primary_label,secondary_label,primary_onset_step,secondary_onset_step,lag_steps,cluster_name,arch_version,base_label,base_fault,masked_channel,mask_type,mask_onset_step,variant,fault_channels,fault_ch_names,subtype,onset_step,multi_sensor_anomaly_count
65,1,bearing_wear,A,250,0.6428635120391846,2,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
66,1,bearing_wear,A,250,0.6473657488822937,3,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
67,1,bearing_wear,A,250,0.4431600868701935,3,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
68,1,bearing_wear,A,250,0.22465427219867706,1,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
69,1,bearing_wear,A,250,0.5493739247322083,1,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
70,1,bearing_wear,A,250,0.371667742729187,2,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
71,1,bearing_wear,A,250,0.5268229246139526,2,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
72,1,bearing_wear,A,250,0.8827224373817444,1,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
73,1,bearing_wear,A,250,0.3871515989303589,3,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
74,1,bearing_wear,A,250,0.24664218723773956,2,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
75,1,bearing_wear,A,250,0.42510712146759033,3,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
76,1,bearing_wear,A,250,0.4348750114440918,1,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
77,1,bearing_wear,A,250,0.7295331954956055,3,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
78,1,bearing_wear,A,250,0.6456257104873657,1,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
79,1,bearing_wear,A,250,0.8271185755729675,2,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
80,1,bearing_wear,A,250,0.7314508557319641,2,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
81,1,bearing_wear,A,250,0.5251094698905945,3,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
82,1,bearing_wear,A,250,0.8512163162231445,1,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
83,1,bearing_wear,A,250,0.33357834815979004,1,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
84,1,bearing_wear,A,250,0.2181696593761444,2,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
85,1,bearing_wear,A,250,0.2720382809638977,2,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
86,1,bearing_wear,A,250,0.7778874635696411,1,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
87,1,bearing_wear,A,250,0.5695017576217651,1,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
88,1,bearing_wear,A,250,0.32901743054389954,1,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
89,1,bearing_wear,A,250,0.6008358001708984,2,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
90,1,bearing_wear,A,250,0.32184967398643494,2,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
91,1,bearing_wear,A,250,0.7570562958717346,2,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
92,1,bearing_wear,A,250,0.5569249987602234,3,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
93,1,bearing_wear,A,250,0.504817008972168,1,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
94,1,bearing_wear,A,250,0.44120967388153076,3,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
95,1,bearing_wear,A,250,0.7042260766029358,3,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
96,1,bearing_wear,A,250,0.4894500970840454,1,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
97,1,bearing_wear,A,250,0.27011993527412415,1,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
98,1,bearing_wear,A,250,0.2944047152996063,1,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
99,1,bearing_wear,A,250,0.9695181250572205,1,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
100,1,bearing_wear,A,250,0.9268645644187927,2,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
101,1,bearing_wear,A,250,0.7597656846046448,1,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
102,1,bearing_wear,A,250,0.412695974111557,1,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
103,1,bearing_wear,A,250,0.9753410816192627,2,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
104,1,bearing_wear,A,250,0.8230007290840149,3,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
105,1,bearing_wear,A,250,0.7735121250152588,1,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
106,1,bearing_wear,A,250,0.5594891905784607,3,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
107,1,bearing_wear,A,250,0.41779324412345886,2,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
108,1,bearing_wear,A,250,0.27711278200149536,3,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
109,1,bearing_wear,A,250,0.9220818877220154,1,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
110,1,bearing_wear,A,250,0.5646210312843323,2,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
111,1,bearing_wear,A,250,0.3618907034397125,3,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
112,1,bearing_wear,A,250,0.4447652995586395,1,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
113,1,bearing_wear,A,250,0.6633756756782532,3,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
114,1,bearing_wear,A,250,0.34141823649406433,2,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
115,1,bearing_wear,A,250,0.8852913975715637,2,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
116,1,bearing_wear,A,250,0.8068156242370605,2,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
117,1,bearing_wear,A,250,0.7755703926086426,2,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
118,1,bearing_wear,A,250,0.5456744432449341,1,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
119,1,bearing_wear,A,250,0.7018470764160156,3,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
120,1,bearing_wear,A,250,0.6672783493995667,2,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
121,1,bearing_wear,A,250,0.719877302646637,3,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
122,1,bearing_wear,A,250,0.26755544543266296,2,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
123,1,bearing_wear,A,250,0.5326459407806396,2,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
124,1,bearing_wear,A,250,0.23329134285449982,2,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
125,1,bearing_wear,A,250,0.5951926708221436,3,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
126,1,bearing_wear,A,250,0.4638889729976654,3,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
127,1,bearing_wear,A,250,0.3156193494796753,3,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
128,1,bearing_wear,A,250,0.2827223837375641,2,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
129,1,bearing_wear,A,250,0.6701156497001648,3,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
130,1,bearing_wear,A,250,0.33647438883781433,2,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
131,1,bearing_wear,A,250,0.9400960803031921,2,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
132,1,bearing_wear,A,250,0.6648489236831665,3,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
133,1,bearing_wear,A,250,0.47749584913253784,1,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
134,1,bearing_wear,A,250,0.672732412815094,3,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
135,1,bearing_wear,A,250,0.2182430922985077,1,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
136,1,bearing_wear,A,250,0.9668473601341248,2,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
137,1,bearing_wear,A,250,0.5858427286148071,2,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
138,1,bearing_wear,A,250,0.8261882066726685,2,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
139,1,bearing_wear,A,250,0.266184002161026,2,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
140,1,bearing_wear,A,250,0.5893266797065735,2,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
141,1,bearing_wear,A,250,0.5925655961036682,2,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
142,1,bearing_wear,A,250,0.9502611756324768,2,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
143,1,bearing_wear,A,250,0.6573824286460876,2,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
144,1,bearing_wear,A,250,0.5787914991378784,3,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
145,1,bearing_wear,A,250,0.4135805368423462,2,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
146,1,bearing_wear,A,250,0.4652552008628845,2,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
147,1,bearing_wear,A,250,0.6165379285812378,3,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
148,1,bearing_wear,A,250,0.551129162311554,3,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
149,1,bearing_wear,A,250,0.21728967130184174,1,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
150,1,bearing_wear,A,250,0.86103355884552,3,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
151,1,bearing_wear,A,250,0.9169285893440247,1,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
152,1,bearing_wear,A,250,0.31219926476478577,1,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
153,1,bearing_wear,A,250,0.6432288885116577,3,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
154,1,bearing_wear,A,250,0.2868605852127075,1,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
155,1,bearing_wear,A,250,0.7377920746803284,3,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
156,1,bearing_wear,A,250,0.4249870181083679,3,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
157,1,bearing_wear,A,250,0.7275381088256836,3,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
158,1,bearing_wear,A,250,0.7815957069396973,3,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
159,1,bearing_wear,A,250,0.8149179816246033,3,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
160,1,bearing_wear,A,250,0.28619274497032166,1,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
161,1,bearing_wear,A,250,0.9328094720840454,3,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
162,1,bearing_wear,A,250,0.38417118787765503,1,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
163,1,bearing_wear,A,250,0.22993004322052002,1,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
164,1,bearing_wear,A,250,0.6438819766044617,1,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
165,1,bearing_wear,A,250,0.49673783779144287,2,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
166,1,bearing_wear,A,250,0.8638318181037903,3,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
167,1,bearing_wear,A,250,0.8466011881828308,1,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
168,1,bearing_wear,A,250,0.4537111222743988,3,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
169,1,bearing_wear,A,250,0.9623194932937622,2,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
170,1,bearing_wear,A,250,0.43273428082466125,2,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
171,1,bearing_wear,A,250,0.6120457053184509,3,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
172,1,bearing_wear,A,250,0.4047720730304718,2,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
173,1,bearing_wear,A,250,0.9488348364830017,2,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
174,1,bearing_wear,A,250,0.33168625831604004,3,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
175,1,bearing_wear,A,250,0.2359284907579422,2,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
176,1,bearing_wear,A,250,0.5480776429176331,2,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
177,1,bearing_wear,A,250,0.9939004778862,1,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
178,1,bearing_wear,A,250,0.9133418202400208,1,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
179,1,bearing_wear,A,250,0.7988864183425903,1,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
180,1,bearing_wear,A,250,0.912634015083313,1,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
181,1,bearing_wear,A,250,0.9147573113441467,1,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
182,1,bearing_wear,A,250,0.6150866746902466,3,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
183,1,bearing_wear,A,250,0.4527432322502136,1,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
184,1,bearing_wear,A,250,0.817609965801239,2,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
185,1,bearing_wear,A,250,0.729328989982605,3,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
186,1,bearing_wear,A,250,0.49892619252204895,3,m6b_physics_lib_v2,0_v2,2026-04-26,,,,,,,,,,,,,,,,,,,,,,
