seq_id,label,fault_type,severity,fault_stage,source,cluster_id,seed_idx,fail_type,fail_channel
69,0,normal,0.0,normal,real_cira,0,-1,,
70,0,normal,0.0,normal,real_cira,0,-1,,
71,0,normal,0.0,normal,real_cira,0,-1,,
72,0,normal,0.0,normal,real_cira,0,-1,,
73,0,normal,0.0,normal,real_cira,0,-1,,
74,0,normal,0.0,normal,real_cira,0,-1,,
75,0,normal,0.0,normal,real_cira,2,-1,,
76,0,normal,0.0,normal,real_cira,0,-1,,
77,0,normal,0.0,normal,real_cira,0,-1,,
78,0,normal,0.0,normal,real_cira,2,-1,,
79,0,normal,0.0,normal,real_cira,0,-1,,
80,0,normal,0.0,normal,real_cira,2,-1,,
81,0,normal,0.0,normal,real_cira,0,-1,,
82,0,normal,0.0,normal,real_cira,1,-1,,
83,0,normal,0.0,normal,real_cira,3,-1,,
84,0,normal,0.0,normal,real_cira,1,-1,,
85,0,normal,0.0,normal,real_cira,2,-1,,
86,0,normal,0.0,normal,real_cira,3,-1,,
87,0,normal,0.0,normal,real_cira,0,-1,,
88,0,normal,0.0,normal,real_cira,0,-1,,
89,0,normal,0.0,normal,real_cira,2,-1,,
90,0,normal,0.0,normal,real_cira,0,-1,,
91,0,normal,0.0,normal,real_cira,1,-1,,
92,0,normal,0.0,normal,real_cira,2,-1,,
93,0,normal,0.0,normal,real_cira,0,-1,,
94,0,normal,0.0,normal,real_cira,0,-1,,
95,0,normal,0.0,normal,real_cira,0,-1,,
96,0,normal,0.0,normal,real_cira,0,-1,,
97,0,normal,0.0,normal,real_cira,0,-1,,
98,0,normal,0.0,normal,real_cira,3,-1,,
99,0,normal,0.0,normal,real_cira,1,-1,,
100,0,normal,0.0,normal,real_cira,0,-1,,
101,0,normal,0.0,normal,real_cira,2,-1,,
102,0,normal,0.0,normal,real_cira,0,-1,,
103,0,normal,0.0,normal,real_cira,3,-1,,
104,0,normal,0.0,normal,real_cira,0,-1,,
105,0,normal,0.0,normal,real_cira,2,-1,,
106,0,normal,0.0,normal,real_cira,2,-1,,
107,0,normal,0.0,normal,real_cira,0,-1,,
108,0,normal,0.0,normal,real_cira,0,-1,,
109,0,normal,0.0,normal,real_cira,2,-1,,
110,0,normal,0.0,normal,real_cira,0,-1,,
111,0,normal,0.0,normal,real_cira,2,-1,,
112,0,normal,0.0,normal,real_cira,0,-1,,
113,0,normal,0.0,normal,real_cira,2,-1,,
114,0,normal,0.0,normal,real_cira,0,-1,,
115,0,normal,0.0,normal,real_cira,0,-1,,
116,0,normal,0.0,normal,real_cira,0,-1,,
117,0,normal,0.0,normal,real_cira,0,-1,,
118,0,normal,0.0,normal,real_cira,0,-1,,
119,0,normal,0.0,normal,real_cira,2,-1,,
120,0,normal,0.0,normal,real_cira,0,-1,,
121,0,normal,0.0,normal,real_cira,0,-1,,
122,0,normal,0.0,normal,real_cira,0,-1,,
123,0,normal,0.0,normal,real_cira,3,-1,,
124,0,normal,0.0,normal,real_cira,0,-1,,
125,0,normal,0.0,normal,real_cira,3,-1,,
126,0,normal,0.0,normal,real_cira,0,-1,,
127,0,normal,0.0,normal,real_cira,0,-1,,
128,0,normal,0.0,normal,real_cira,2,-1,,
129,0,normal,0.0,normal,real_cira,1,-1,,
130,0,normal,0.0,normal,real_cira,2,-1,,
131,0,normal,0.0,normal,real_cira,0,-1,,
132,0,normal,0.0,normal,real_cira,0,-1,,
133,0,normal,0.0,normal,real_cira,2,-1,,
134,0,normal,0.0,normal,real_cira,3,-1,,
135,0,normal,0.0,normal,real_cira,0,-1,,
136,0,normal,0.0,normal,real_cira,0,-1,,
137,0,normal,0.0,normal,real_cira,0,-1,,
138,0,normal,0.0,normal,real_cira,2,-1,,
139,0,normal,0.0,normal,real_cira,0,-1,,
140,0,normal,0.0,normal,real_cira,2,-1,,
141,0,normal,0.0,normal,real_cira,0,-1,,
142,0,normal,0.0,normal,real_cira,0,-1,,
143,0,normal,0.0,normal,real_cira,0,-1,,
144,0,normal,0.0,normal,real_cira,1,-1,,
145,0,normal,0.0,normal,real_cira,0,-1,,
146,0,normal,0.0,normal,real_cira,3,-1,,
147,0,normal,0.0,normal,real_cira,3,-1,,
148,0,normal,0.0,normal,real_cira,0,-1,,
149,0,normal,0.0,normal,real_cira,0,-1,,
150,0,normal,0.0,normal,real_cira,0,-1,,
151,0,normal,0.0,normal,real_cira,0,-1,,
152,0,normal,0.0,normal,real_cira,1,-1,,
153,0,normal,0.0,normal,real_cira,2,-1,,
154,0,normal,0.0,normal,real_cira,0,-1,,
155,0,normal,0.0,normal,real_cira,0,-1,,
156,0,normal,0.0,normal,real_cira,0,-1,,
157,0,normal,0.0,normal,real_cira,0,-1,,
158,0,normal,0.0,normal,real_cira,0,-1,,
159,0,normal,0.0,normal,real_cira,1,-1,,
160,0,normal,0.0,normal,real_cira,0,-1,,
161,0,normal,0.0,normal,real_cira,0,-1,,
162,0,normal,0.0,normal,real_cira,0,-1,,
163,0,normal,0.0,normal,real_cira,0,-1,,
164,0,normal,0.0,normal,real_cira,0,-1,,
165,0,normal,0.0,normal,real_cira,3,-1,,
166,0,normal,0.0,normal,real_cira,2,-1,,
167,0,normal,0.0,normal,real_cira,2,-1,,
168,0,normal,0.0,normal,real_cira,2,-1,,
169,0,normal,0.0,normal,real_cira,3,-1,,
170,0,normal,0.0,normal,real_cira,0,-1,,
171,0,normal,0.0,normal,real_cira,2,-1,,
172,0,normal,0.0,normal,real_cira,0,-1,,
173,0,normal,0.0,normal,real_cira,0,-1,,
174,0,normal,0.0,normal,real_cira,3,-1,,
175,0,normal,0.0,normal,real_cira,0,-1,,
176,0,normal,0.0,normal,real_cira,3,-1,,
177,0,normal,0.0,normal,real_cira,3,-1,,
178,0,normal,0.0,normal,real_cira,1,-1,,
179,0,normal,0.0,normal,real_cira,2,-1,,
180,0,normal,0.0,normal,real_cira,0,-1,,
181,0,normal,0.0,normal,real_cira,1,-1,,
182,0,normal,0.0,normal,real_cira,0,-1,,
183,0,normal,0.0,normal,real_cira,0,-1,,
184,0,normal,0.0,normal,real_cira,2,-1,,
185,0,normal,0.0,normal,real_cira,0,-1,,
186,0,normal,0.0,normal,real_cira,0,-1,,
187,0,normal,0.0,normal,real_cira,2,-1,,
188,0,normal,0.0,normal,real_cira,1,-1,,
189,0,normal,0.0,normal,real_cira,0,-1,,
190,0,normal,0.0,normal,real_cira,0,-1,,
191,0,normal,0.0,normal,real_cira,0,-1,,
192,0,normal,0.0,normal,real_cira,2,-1,,
193,0,normal,0.0,normal,real_cira,0,-1,,
194,0,normal,0.0,normal,real_cira,2,-1,,
195,0,normal,0.0,normal,real_cira,0,-1,,
196,0,normal,0.0,normal,real_cira,3,-1,,
197,0,normal,0.0,normal,real_cira,0,-1,,
198,0,normal,0.0,normal,real_cira,0,-1,,
199,0,normal,0.0,normal,real_cira,0,-1,,
200,0,normal,0.0,normal,real_cira,0,-1,,
201,0,normal,0.0,normal,real_cira,3,-1,,
202,0,normal,0.0,normal,real_cira,1,-1,,
203,0,normal,0.0,normal,real_cira,3,-1,,
204,0,normal,0.0,normal,real_cira,3,-1,,
205,0,normal,0.0,normal,real_cira,0,-1,,
206,0,normal,0.0,normal,real_cira,0,-1,,
207,0,normal,0.0,normal,real_cira,0,-1,,
208,0,normal,0.0,normal,real_cira,0,-1,,
209,0,normal,0.0,normal,real_cira,1,-1,,
210,0,normal,0.0,normal,real_cira,0,-1,,
211,0,normal,0.0,normal,real_cira,3,-1,,
212,0,normal,0.0,normal,real_cira,0,-1,,
213,0,normal,0.0,normal,real_cira,0,-1,,
214,0,normal,0.0,normal,real_cira,2,-1,,
215,0,normal,0.0,normal,real_cira,0,-1,,
216,0,normal,0.0,normal,real_cira,0,-1,,
217,0,normal,0.0,normal,real_cira,0,-1,,
218,0,normal,0.0,normal,real_cira,1,-1,,
219,0,normal,0.0,normal,real_cira,0,-1,,
220,0,normal,0.0,normal,real_cira,0,-1,,
221,0,normal,0.0,normal,real_cira,3,-1,,
222,0,normal,0.0,normal,real_cira,0,-1,,
223,0,normal,0.0,normal,real_cira,2,-1,,
224,0,normal,0.0,normal,real_cira,0,-1,,
225,0,normal,0.0,normal,real_cira,3,-1,,
226,0,normal,0.0,normal,real_cira,3,-1,,
227,0,normal,0.0,normal,real_cira,2,-1,,
228,0,normal,0.0,normal,real_cira,0,-1,,
229,0,normal,0.0,normal,real_cira,0,-1,,
230,0,normal,0.0,normal,real_cira,2,-1,,
231,0,normal,0.0,normal,real_cira,0,-1,,
232,0,normal,0.0,normal,real_cira,3,-1,,
233,0,normal,0.0,normal,real_cira,2,-1,,
234,0,normal,0.0,normal,real_cira,2,-1,,
235,0,normal,0.0,normal,real_cira,0,-1,,
236,0,normal,0.0,normal,real_cira,0,-1,,
237,0,normal,0.0,normal,real_cira,0,-1,,
238,0,normal,0.0,normal,real_cira,0,-1,,
239,0,normal,0.0,normal,real_cira,0,-1,,
240,0,normal,0.0,normal,real_cira,0,-1,,
241,0,normal,0.0,normal,real_cira,2,-1,,
242,0,normal,0.0,normal,real_cira,2,-1,,
243,0,normal,0.0,normal,real_cira,0,-1,,
244,0,normal,0.0,normal,real_cira,1,-1,,
245,0,normal,0.0,normal,real_cira,2,-1,,
246,0,normal,0.0,normal,real_cira,2,-1,,
247,0,normal,0.0,normal,real_cira,2,-1,,
248,0,normal,0.0,normal,real_cira,0,-1,,
249,0,normal,0.0,normal,real_cira,0,-1,,
250,0,normal,0.0,normal,real_cira,0,-1,,
251,0,normal,0.0,normal,real_cira,3,-1,,
252,0,normal,0.0,normal,real_cira,0,-1,,
253,0,normal,0.0,normal,real_cira,1,-1,,
254,0,normal,0.0,normal,real_cira,0,-1,,
255,0,normal,0.0,normal,real_cira,2,-1,,
256,0,normal,0.0,normal,real_cira,2,-1,,
257,0,normal,0.0,normal,real_cira,1,-1,,
258,0,normal,0.0,normal,real_cira,0,-1,,
259,0,normal,0.0,normal,real_cira,0,-1,,
260,0,normal,0.0,normal,real_cira,0,-1,,
261,0,normal,0.0,normal,real_cira,0,-1,,
262,0,normal,0.0,normal,real_cira,0,-1,,
263,0,normal,0.0,normal,real_cira,0,-1,,
264,0,normal,0.0,normal,real_cira,0,-1,,
265,0,normal,0.0,normal,real_cira,0,-1,,
266,0,normal,0.0,normal,real_cira,3,-1,,
267,0,normal,0.0,normal,real_cira,0,-1,,
268,0,normal,0.0,normal,real_cira,0,-1,,
269,0,normal,0.0,normal,real_cira,3,-1,,
270,0,normal,0.0,normal,real_cira,0,-1,,
271,0,normal,0.0,normal,real_cira,0,-1,,
272,0,normal,0.0,normal,real_cira,0,-1,,
273,0,normal,0.0,normal,real_cira,0,-1,,
274,0,normal,0.0,normal,real_cira,0,-1,,
275,0,normal,0.0,normal,real_cira,0,-1,,
276,0,normal,0.0,normal,real_cira,1,-1,,
277,0,normal,0.0,normal,real_cira,0,-1,,
278,0,normal,0.0,normal,real_cira,0,-1,,
279,0,normal,0.0,normal,real_cira,3,-1,,
280,0,normal,0.0,normal,real_cira,0,-1,,
281,0,normal,0.0,normal,real_cira,0,-1,,
282,0,normal,0.0,normal,real_cira,0,-1,,
283,0,normal,0.0,normal,real_cira,0,-1,,
284,0,normal,0.0,normal,real_cira,0,-1,,
285,0,normal,0.0,normal,real_cira,0,-1,,
286,0,normal,0.0,normal,real_cira,0,-1,,
287,0,normal,0.0,normal,real_cira,3,-1,,
288,0,normal,0.0,normal,real_cira,0,-1,,
289,0,normal,0.0,normal,real_cira,2,-1,,
290,0,normal,0.0,normal,real_cira,0,-1,,
291,0,normal,0.0,normal,real_cira,0,-1,,
292,0,normal,0.0,normal,real_cira,0,-1,,
293,0,normal,0.0,normal,real_cira,1,-1,,
294,0,normal,0.0,normal,real_cira,0,-1,,
295,0,normal,0.0,normal,real_cira,0,-1,,
296,0,normal,0.0,normal,real_cira,2,-1,,
297,0,normal,0.0,normal,real_cira,1,-1,,
298,0,normal,0.0,normal,real_cira,3,-1,,
299,0,normal,0.0,normal,real_cira,0,-1,,
300,0,normal,0.0,normal,real_cira,0,-1,,
301,0,normal,0.0,normal,real_cira,0,-1,,
302,0,normal,0.0,normal,real_cira,2,-1,,
303,0,normal,0.0,normal,real_cira,0,-1,,
304,0,normal,0.0,normal,real_cira,2,-1,,
305,0,normal,0.0,normal,real_cira,0,-1,,
306,0,normal,0.0,normal,real_cira,1,-1,,
307,0,normal,0.0,normal,real_cira,1,-1,,
308,0,normal,0.0,normal,real_cira,0,-1,,
309,0,normal,0.0,normal,real_cira,2,-1,,
310,0,normal,0.0,normal,real_cira,0,-1,,
311,0,normal,0.0,normal,real_cira,3,-1,,
312,0,normal,0.0,normal,real_cira,0,-1,,
313,0,normal,0.0,normal,real_cira,0,-1,,
314,0,normal,0.0,normal,real_cira,0,-1,,
315,0,normal,0.0,normal,real_cira,3,-1,,
316,0,normal,0.0,normal,real_cira,0,-1,,
317,0,normal,0.0,normal,real_cira,2,-1,,
318,0,normal,0.0,normal,real_cira,2,-1,,
319,0,normal,0.0,normal,real_cira,1,-1,,
320,0,normal,0.0,normal,real_cira,0,-1,,
321,0,normal,0.0,normal,real_cira,3,-1,,
322,0,normal,0.0,normal,real_cira,3,-1,,
323,0,normal,0.0,normal,real_cira,2,-1,,
324,0,normal,0.0,normal,real_cira,0,-1,,
325,0,normal,0.0,normal,real_cira,3,-1,,
326,0,normal,0.0,normal,real_cira,0,-1,,
327,0,normal,0.0,normal,real_cira,3,-1,,
328,0,normal,0.0,normal,real_cira,2,-1,,
329,0,normal,0.0,normal,real_cira,0,-1,,
330,0,normal,0.0,normal,real_cira,3,-1,,
331,0,normal,0.0,normal,real_cira,0,-1,,
332,0,normal,0.0,normal,real_cira,0,-1,,
333,0,normal,0.0,normal,real_cira,0,-1,,
334,0,normal,0.0,normal,real_cira,3,-1,,
335,0,normal,0.0,normal,real_cira,2,-1,,
336,0,normal,0.0,normal,real_cira,0,-1,,
337,0,normal,0.0,normal,real_cira,0,-1,,
338,0,normal,0.0,normal,real_cira,0,-1,,
339,0,normal,0.0,normal,real_cira,0,-1,,
340,0,normal,0.0,normal,real_cira,0,-1,,
341,0,normal,0.0,normal,real_cira,2,-1,,
342,0,normal,0.0,normal,real_cira,0,-1,,
343,0,normal,0.0,normal,real_cira,2,-1,,
344,0,normal,0.0,normal,real_cira,0,-1,,
345,0,normal,0.0,normal,real_cira,0,-1,,
346,0,normal,0.0,normal,real_cira,0,-1,,
347,0,normal,0.0,normal,real_cira,3,-1,,
348,0,normal,0.0,normal,real_cira,0,-1,,
349,0,normal,0.0,normal,real_cira,0,-1,,
350,0,normal,0.0,normal,real_cira,2,-1,,
351,0,normal,0.0,normal,real_cira,0,-1,,
352,0,normal,0.0,normal,real_cira,0,-1,,
353,0,normal,0.0,normal,real_cira,3,-1,,
354,0,normal,0.0,normal,real_cira,2,-1,,
355,0,normal,0.0,normal,real_cira,0,-1,,
356,0,normal,0.0,normal,real_cira,0,-1,,
357,0,normal,0.0,normal,real_cira,0,-1,,
358,0,normal,0.0,normal,real_cira,0,-1,,
359,0,normal,0.0,normal,real_cira,0,-1,,
360,0,normal,0.0,normal,real_cira,3,-1,,
361,0,normal,0.0,normal,real_cira,0,-1,,
362,0,normal,0.0,normal,real_cira,3,-1,,
363,0,normal,0.0,normal,real_cira,0,-1,,
364,0,normal,0.0,normal,real_cira,0,-1,,
365,0,normal,0.0,normal,real_cira,2,-1,,
366,0,normal,0.0,normal,real_cira,3,-1,,
367,0,normal,0.0,normal,real_cira,0,-1,,
368,0,normal,0.0,normal,real_cira,0,-1,,
369,0,normal,0.0,normal,real_cira,3,-1,,
370,0,normal,0.0,normal,real_cira,0,-1,,
371,0,normal,0.0,normal,real_cira,0,-1,,
372,0,normal,0.0,normal,real_cira,2,-1,,
373,0,normal,0.0,normal,real_cira,0,-1,,
374,0,normal,0.0,normal,real_cira,0,-1,,
375,0,normal,0.0,normal,real_cira,0,-1,,
376,0,normal,0.0,normal,real_cira,0,-1,,
377,0,normal,0.0,normal,real_cira,0,-1,,
378,0,normal,0.0,normal,real_cira,0,-1,,
379,0,normal,0.0,normal,real_cira,3,-1,,
380,0,normal,0.0,normal,real_cira,0,-1,,
381,0,normal,0.0,normal,real_cira,0,-1,,
382,0,normal,0.0,normal,real_cira,0,-1,,
383,0,normal,0.0,normal,real_cira,3,-1,,
384,0,normal,0.0,normal,real_cira,0,-1,,
385,0,normal,0.0,normal,real_cira,3,-1,,
386,0,normal,0.0,normal,real_cira,0,-1,,
387,0,normal,0.0,normal,real_cira,0,-1,,
388,0,normal,0.0,normal,real_cira,2,-1,,
389,0,normal,0.0,normal,real_cira,1,-1,,
390,0,normal,0.0,normal,real_cira,2,-1,,
391,0,normal,0.0,normal,real_cira,0,-1,,
392,0,normal,0.0,normal,real_cira,0,-1,,
393,0,normal,0.0,normal,real_cira,0,-1,,
394,0,normal,0.0,normal,real_cira,2,-1,,
395,0,normal,0.0,normal,real_cira,0,-1,,
396,0,normal,0.0,normal,real_cira,1,-1,,
397,0,normal,0.0,normal,real_cira,0,-1,,
398,0,normal,0.0,normal,real_cira,0,-1,,
399,0,normal,0.0,normal,real_cira,0,-1,,
400,0,normal,0.0,normal,real_cira,2,-1,,
401,0,normal,0.0,normal,real_cira,0,-1,,
402,0,normal,0.0,normal,real_cira,0,-1,,
403,0,normal,0.0,normal,real_cira,3,-1,,
404,0,normal,0.0,normal,real_cira,0,-1,,
405,0,normal,0.0,normal,real_cira,2,-1,,
406,0,normal,0.0,normal,real_cira,0,-1,,
407,0,normal,0.0,normal,real_cira,3,-1,,
408,0,normal,0.0,normal,real_cira,2,-1,,
409,0,normal,0.0,normal,real_cira,3,-1,,
410,0,normal,0.0,normal,real_cira,0,-1,,
411,0,normal,0.0,normal,real_cira,0,-1,,
412,0,normal,0.0,normal,real_cira,0,-1,,
413,0,normal,0.0,normal,real_cira,0,-1,,
414,0,normal,0.0,normal,real_cira,0,-1,,
415,0,normal,0.0,normal,real_cira,0,-1,,
416,0,normal,0.0,normal,real_cira,0,-1,,
417,0,normal,0.0,normal,real_cira,2,-1,,
418,0,normal,0.0,normal,real_cira,0,-1,,
419,0,normal,0.0,normal,real_cira,0,-1,,
420,0,normal,0.0,normal,real_cira,0,-1,,
421,0,normal,0.0,normal,real_cira,1,-1,,
422,0,normal,0.0,normal,real_cira,0,-1,,
423,0,normal,0.0,normal,real_cira,0,-1,,
424,0,normal,0.0,normal,real_cira,0,-1,,
425,0,normal,0.0,normal,real_cira,2,-1,,
426,0,normal,0.0,normal,real_cira,0,-1,,
427,0,normal,0.0,normal,real_cira,3,-1,,
428,0,normal,0.0,normal,real_cira,0,-1,,
429,0,normal,0.0,normal,real_cira,0,-1,,
430,0,normal,0.0,normal,real_cira,0,-1,,
431,0,normal,0.0,normal,real_cira,0,-1,,
432,0,normal,0.0,normal,real_cira,0,-1,,
433,0,normal,0.0,normal,real_cira,0,-1,,
434,0,normal,0.0,normal,real_cira,3,-1,,
435,0,normal,0.0,normal,real_cira,0,-1,,
436,0,normal,0.0,normal,real_cira,0,-1,,
437,0,normal,0.0,normal,real_cira,0,-1,,
438,0,normal,0.0,normal,real_cira,0,-1,,
439,0,normal,0.0,normal,real_cira,0,-1,,
440,0,normal,0.0,normal,real_cira,0,-1,,
441,0,normal,0.0,normal,real_cira,3,-1,,
442,0,normal,0.0,normal,real_cira,0,-1,,
443,0,normal,0.0,normal,real_cira,2,-1,,
444,0,normal,0.0,normal,real_cira,0,-1,,
445,0,normal,0.0,normal,real_cira,0,-1,,
446,0,normal,0.0,normal,real_cira,0,-1,,
447,0,normal,0.0,normal,real_cira,0,-1,,
448,0,normal,0.0,normal,real_cira,0,-1,,
449,0,normal,0.0,normal,real_cira,2,-1,,
450,0,normal,0.0,normal,real_cira,0,-1,,
451,0,normal,0.0,normal,real_cira,3,-1,,
452,0,normal,0.0,normal,real_cira,1,-1,,
453,0,normal,0.0,normal,real_cira,2,-1,,
454,0,normal,0.0,normal,real_cira,3,-1,,
455,0,normal,0.0,normal,real_cira,3,-1,,
456,0,normal,0.0,normal,real_cira,0,-1,,
457,0,normal,0.0,normal,real_cira,0,-1,,
458,0,normal,0.0,normal,real_cira,0,-1,,
459,0,normal,0.0,normal,real_cira,3,-1,,
460,0,normal,0.0,normal,real_cira,0,-1,,
461,0,normal,0.0,normal,real_cira,0,-1,,
462,0,normal,0.0,normal,real_cira,1,-1,,
463,0,normal,0.0,normal,real_cira,3,-1,,
464,0,normal,0.0,normal,real_cira,0,-1,,
465,0,normal,0.0,normal,real_cira,2,-1,,
466,0,normal,0.0,normal,real_cira,0,-1,,
467,0,normal,0.0,normal,real_cira,0,-1,,
468,0,normal,0.0,normal,real_cira,3,-1,,
469,0,normal,0.0,normal,real_cira,0,-1,,
470,0,normal,0.0,normal,real_cira,0,-1,,
471,0,normal,0.0,normal,real_cira,0,-1,,
472,0,normal,0.0,normal,real_cira,3,-1,,
473,0,normal,0.0,normal,real_cira,0,-1,,
474,0,normal,0.0,normal,real_cira,0,-1,,
475,0,normal,0.0,normal,real_cira,2,-1,,
476,0,normal,0.0,normal,real_cira,0,-1,,
477,0,normal,0.0,normal,real_cira,0,-1,,
478,0,normal,0.0,normal,real_cira,0,-1,,
479,0,normal,0.0,normal,real_cira,0,-1,,
480,0,normal,0.0,normal,real_cira,3,-1,,
481,0,normal,0.0,normal,real_cira,0,-1,,
482,0,normal,0.0,normal,real_cira,1,-1,,
483,0,normal,0.0,normal,real_cira,0,-1,,
484,0,normal,0.0,normal,real_cira,0,-1,,
485,0,normal,0.0,normal,real_cira,0,-1,,
486,0,normal,0.0,normal,real_cira,0,-1,,
487,0,normal,0.0,normal,real_cira,1,-1,,
488,0,normal,0.0,normal,real_cira,2,-1,,
489,0,normal,0.0,normal,real_cira,0,-1,,
490,0,normal,0.0,normal,real_cira,3,-1,,
491,0,normal,0.0,normal,real_cira,3,-1,,
492,0,normal,0.0,normal,real_cira,0,-1,,
493,0,normal,0.0,normal,real_cira,0,-1,,
494,0,normal,0.0,normal,real_cira,0,-1,,
495,0,normal,0.0,normal,real_cira,0,-1,,
496,0,normal,0.0,normal,real_cira,0,-1,,
497,0,normal,0.0,normal,real_cira,0,-1,,
498,0,normal,0.0,normal,real_cira,0,-1,,
499,0,normal,0.0,normal,real_cira,0,-1,,
500,0,normal,0.0,normal,real_cira,2,-1,,
501,0,normal,0.0,normal,real_cira,2,-1,,
502,0,normal,0.0,normal,real_cira,1,-1,,
503,0,normal,0.0,normal,real_cira,2,-1,,
504,0,normal,0.0,normal,real_cira,0,-1,,
505,0,normal,0.0,normal,real_cira,0,-1,,
506,0,normal,0.0,normal,real_cira,0,-1,,
507,0,normal,0.0,normal,real_cira,0,-1,,
508,0,normal,0.0,normal,real_cira,0,-1,,
509,0,normal,0.0,normal,real_cira,0,-1,,
510,0,normal,0.0,normal,real_cira,0,-1,,
511,0,normal,0.0,normal,real_cira,2,-1,,
512,0,normal,0.0,normal,real_cira,0,-1,,
513,0,normal,0.0,normal,real_cira,0,-1,,
514,0,normal,0.0,normal,real_cira,3,-1,,
515,0,normal,0.0,normal,real_cira,2,-1,,
516,0,normal,0.0,normal,real_cira,0,-1,,
517,0,normal,0.0,normal,real_cira,0,-1,,
518,0,normal,0.0,normal,real_cira,3,-1,,
519,0,normal,0.0,normal,real_cira,0,-1,,
520,0,normal,0.0,normal,real_cira,0,-1,,
521,0,normal,0.0,normal,real_cira,0,-1,,
522,0,normal,0.0,normal,real_cira,0,-1,,
523,0,normal,0.0,normal,real_cira,0,-1,,
524,0,normal,0.0,normal,real_cira,0,-1,,
525,0,normal,0.0,normal,real_cira,0,-1,,
526,0,normal,0.0,normal,real_cira,0,-1,,
527,0,normal,0.0,normal,real_cira,0,-1,,
528,0,normal,0.0,normal,real_cira,3,-1,,
529,0,normal,0.0,normal,real_cira,1,-1,,
530,0,normal,0.0,normal,real_cira,3,-1,,
531,0,normal,0.0,normal,real_cira,0,-1,,
532,0,normal,0.0,normal,real_cira,0,-1,,
533,0,normal,0.0,normal,real_cira,0,-1,,
